"TIME","GEO","UNIT","NA_ITEM","Value","Flag and Footnotes"
"2008","European Union (current composition)","Current prices, million euro","Gross domestic product at market prices","13,086,037.7",""
"2008","European Union (current composition)","Current prices, million euro","Value added, gross","11,753,685.2",""
"2008","European Union (current composition)","Current prices, million euro","Final consumption expenditure","10,042,898.7",""
"2008","European Union (current composition)","Current prices, million euro","Final consumption expenditure of general government","2,633,924.4",""
"2008","European Union (current composition)","Current prices, million euro","Individual consumption expenditure of general government","1,622,256.5",""
"2008","European Union (current composition)","Current prices, million euro","Collective consumption expenditure of general government","1,011,667.9",""
"2008","European Union (current composition)","Current prices, million euro","Household and NPISH final consumption expenditure","7,408,974.3",""
"2008","European Union (current composition)","Current prices, million euro","Final consumption expenditure of households","7,212,020.2",""
"2008","European Union (current composition)","Current prices, million euro","Final consumption expenditure of NPISH","196,954.1",""
"2008","European Union (current composition)","Current prices, million euro","Actual individual consumption","9,031,230.8",""
"2008","European Union (current composition)","Current prices, million euro","Gross capital formation","3,001,971.6",""
"2008","European Union (current composition)","Current prices, million euro","Gross fixed capital formation","2,934,439.9",""
"2008","European Union (current composition)","Current prices, million euro","Changes in inventories and acquisitions less disposals of valuables","67,531.8",""
"2008","European Union (current composition)","Current prices, million euro","Changes in inventories",":",""
"2008","European Union (current composition)","Current prices, million euro","Acquisitions less disposals of valuables",":",""
"2008","European Union (current composition)","Current prices, million euro","Exports of goods and services","5,090,920.7",""
"2008","European Union (current composition)","Current prices, million euro","Exports of goods","3,802,737.4",""
"2008","European Union (current composition)","Current prices, million euro","Exports of services","1,288,183.3",""
"2008","European Union (current composition)","Current prices, million euro","Imports of goods and services","5,049,753.4",""
"2008","European Union (current composition)","Current prices, million euro","Imports of goods","3,907,271.7",""
"2008","European Union (current composition)","Current prices, million euro","Imports of services","1,142,481.7",""
"2008","European Union (current composition)","Current prices, million euro","External balance of goods and services","41,167.3",""
"2008","European Union (current composition)","Current prices, million euro","External balance - Goods","-104,534.2",""
"2008","European Union (current composition)","Current prices, million euro","External balance - Services","145,701.6",""
"2008","European Union (current composition)","Current prices, million euro","Compensation of employees","6,143,101.9",""
"2008","European Union (current composition)","Current prices, million euro","Wages and salaries","4,872,744.3",""
"2008","European Union (current composition)","Current prices, million euro","Employers' social contributions","1,270,357.6",""
"2008","European Union (current composition)","Current prices, million euro","Operating surplus and mixed income, gross","5,472,477.8",""
"2008","European Union (current composition)","Current prices, million euro","Taxes on production and imports less subsidies","1,470,458.0",""
"2008","European Union (current composition)","Current prices, million euro","Taxes on production and imports",":",""
"2008","European Union (current composition)","Current prices, million euro","Subsidies",":",""
"2008","European Union (current composition)","Current prices, million euro","Taxes less subsidies on products","1,332,352.5",""
"2008","European Union (current composition)","Current prices, million euro","Taxes on products",":",""
"2008","European Union (current composition)","Current prices, million euro","Subsidies on products",":",""
"2008","European Union (current composition)","Current prices, million euro","Statistical discrepancy (production approach)",":",""
"2008","European Union (current composition)","Current prices, million euro","Statistical discrepancy (expenditure approach)",":",""
"2008","European Union (current composition)","Current prices, million euro","Statistical discrepancy (income approach)",":",""
"2008","European Union (current composition)","Current prices, million euro","Final consumption expenditure and gross capital formation","13,044,870.3",""
"2008","European Union (current composition)","Current prices, million euro","Final consumption expenditure, gross capital formation and exports of goods and services","18,135,791.0",""
"2008","European Union (without United Kingdom)","Current prices, million euro","Gross domestic product at market prices","11,102,067.2",""
"2008","European Union (without United Kingdom)","Current prices, million euro","Value added, gross","9,958,285.3",""
"2008","European Union (without United Kingdom)","Current prices, million euro","Final consumption expenditure","8,350,386.0",""
"2008","European Union (without United Kingdom)","Current prices, million euro","Final consumption expenditure of general government","2,236,809.1",""
"2008","European Union (without United Kingdom)","Current prices, million euro","Individual consumption expenditure of general government","1,378,807.5",""
"2008","European Union (without United Kingdom)","Current prices, million euro","Collective consumption expenditure of general government","858,001.6",""
"2008","European Union (without United Kingdom)","Current prices, million euro","Household and NPISH final consumption expenditure","6,113,576.9",""
"2008","European Union (without United Kingdom)","Current prices, million euro","Final consumption expenditure of households","5,976,248.9",""
"2008","European Union (without United Kingdom)","Current prices, million euro","Final consumption expenditure of NPISH","137,328.0",""
"2008","European Union (without United Kingdom)","Current prices, million euro","Actual individual consumption","7,492,384.4",""
"2008","European Union (without United Kingdom)","Current prices, million euro","Gross capital formation","2,661,534.9",""
"2008","European Union (without United Kingdom)","Current prices, million euro","Gross fixed capital formation","2,594,260.6",""
"2008","European Union (without United Kingdom)","Current prices, million euro","Changes in inventories and acquisitions less disposals of valuables","67,274.3",""
"2008","European Union (without United Kingdom)","Current prices, million euro","Changes in inventories",":",""
"2008","European Union (without United Kingdom)","Current prices, million euro","Acquisitions less disposals of valuables",":",""
"2008","European Union (without United Kingdom)","Current prices, million euro","Exports of goods and services","4,560,432.7",""
"2008","European Union (without United Kingdom)","Current prices, million euro","Exports of goods","3,485,940.6",""
"2008","European Union (without United Kingdom)","Current prices, million euro","Exports of services","1,074,492.1",""
"2008","European Union (without United Kingdom)","Current prices, million euro","Imports of goods and services","4,470,286.3",""
"2008","European Union (without United Kingdom)","Current prices, million euro","Imports of goods","3,475,359.5",""
"2008","European Union (without United Kingdom)","Current prices, million euro","Imports of services","994,926.8",""
"2008","European Union (without United Kingdom)","Current prices, million euro","External balance of goods and services","90,146.3",""
"2008","European Union (without United Kingdom)","Current prices, million euro","External balance - Goods","10,581.0",""
"2008","European Union (without United Kingdom)","Current prices, million euro","External balance - Services","79,565.3",""
"2008","European Union (without United Kingdom)","Current prices, million euro","Compensation of employees","5,150,756.3",""
"2008","European Union (without United Kingdom)","Current prices, million euro","Wages and salaries","4,040,891.2",""
"2008","European Union (without United Kingdom)","Current prices, million euro","Employers' social contributions","1,109,865.1",""
"2008","European Union (without United Kingdom)","Current prices, million euro","Operating surplus and mixed income, gross","4,691,139.6",""
"2008","European Union (without United Kingdom)","Current prices, million euro","Taxes on production and imports less subsidies","1,260,171.4",""
"2008","European Union (without United Kingdom)","Current prices, million euro","Taxes on production and imports",":",""
"2008","European Union (without United Kingdom)","Current prices, million euro","Subsidies",":",""
"2008","European Union (without United Kingdom)","Current prices, million euro","Taxes less subsidies on products","1,143,781.9",""
"2008","European Union (without United Kingdom)","Current prices, million euro","Taxes on products",":",""
"2008","European Union (without United Kingdom)","Current prices, million euro","Subsidies on products",":",""
"2008","European Union (without United Kingdom)","Current prices, million euro","Statistical discrepancy (production approach)",":",""
"2008","European Union (without United Kingdom)","Current prices, million euro","Statistical discrepancy (expenditure approach)",":",""
"2008","European Union (without United Kingdom)","Current prices, million euro","Statistical discrepancy (income approach)",":",""
"2008","European Union (without United Kingdom)","Current prices, million euro","Final consumption expenditure and gross capital formation","11,011,920.9",""
"2008","European Union (without United Kingdom)","Current prices, million euro","Final consumption expenditure, gross capital formation and exports of goods and services","15,572,353.6",""
"2008","European Union (15 countries)","Current prices, million euro","Gross domestic product at market prices","12,016,318.7",""
"2008","European Union (15 countries)","Current prices, million euro","Value added, gross","10,811,105.9",""
"2008","European Union (15 countries)","Current prices, million euro","Final consumption expenditure","9,221,294.4",""
"2008","European Union (15 countries)","Current prices, million euro","Final consumption expenditure of general government","2,435,743.1",""
"2008","European Union (15 countries)","Current prices, million euro","Individual consumption expenditure of general government","1,519,658.7",""
"2008","European Union (15 countries)","Current prices, million euro","Collective consumption expenditure of general government","916,084.4",""
"2008","European Union (15 countries)","Current prices, million euro","Household and NPISH final consumption expenditure","6,785,551.3",""
"2008","European Union (15 countries)","Current prices, million euro","Final consumption expenditure of households","6,598,189.4",""
"2008","European Union (15 countries)","Current prices, million euro","Final consumption expenditure of NPISH","187,362.0",""
"2008","European Union (15 countries)","Current prices, million euro","Actual individual consumption","8,305,210.0",""
"2008","European Union (15 countries)","Current prices, million euro","Gross capital formation","2,696,585.4",""
"2008","European Union (15 countries)","Current prices, million euro","Gross fixed capital formation","2,641,789.7",""
"2008","European Union (15 countries)","Current prices, million euro","Changes in inventories and acquisitions less disposals of valuables","54,795.7",""
"2008","European Union (15 countries)","Current prices, million euro","Changes in inventories",":",""
"2008","European Union (15 countries)","Current prices, million euro","Acquisitions less disposals of valuables",":",""
"2008","European Union (15 countries)","Current prices, million euro","Exports of goods and services","4,552,266.6",""
"2008","European Union (15 countries)","Current prices, million euro","Exports of goods","3,383,715.2",""
"2008","European Union (15 countries)","Current prices, million euro","Exports of services","1,168,551.4",""
"2008","European Union (15 countries)","Current prices, million euro","Imports of goods and services","4,453,827.7",""
"2008","European Union (15 countries)","Current prices, million euro","Imports of goods","3,400,933.4",""
"2008","European Union (15 countries)","Current prices, million euro","Imports of services","1,052,894.3",""
"2008","European Union (15 countries)","Current prices, million euro","External balance of goods and services","98,439.0",""
"2008","European Union (15 countries)","Current prices, million euro","External balance - Goods","-17,218.2",""
"2008","European Union (15 countries)","Current prices, million euro","External balance - Services","115,657.2",""
"2008","European Union (15 countries)","Current prices, million euro","Compensation of employees","5,711,040.6",""
"2008","European Union (15 countries)","Current prices, million euro","Wages and salaries","4,519,967.9",""
"2008","European Union (15 countries)","Current prices, million euro","Employers' social contributions","1,191,072.7",""
"2008","European Union (15 countries)","Current prices, million euro","Operating surplus and mixed income, gross","4,959,731.4",""
"2008","European Union (15 countries)","Current prices, million euro","Taxes on production and imports less subsidies","1,345,546.7",""
"2008","European Union (15 countries)","Current prices, million euro","Taxes on production and imports",":",""
"2008","European Union (15 countries)","Current prices, million euro","Subsidies",":",""
"2008","European Union (15 countries)","Current prices, million euro","Taxes less subsidies on products","1,205,212.9",""
"2008","European Union (15 countries)","Current prices, million euro","Taxes on products",":",""
"2008","European Union (15 countries)","Current prices, million euro","Subsidies on products",":",""
"2008","European Union (15 countries)","Current prices, million euro","Statistical discrepancy (production approach)",":",""
"2008","European Union (15 countries)","Current prices, million euro","Statistical discrepancy (expenditure approach)",":",""
"2008","European Union (15 countries)","Current prices, million euro","Statistical discrepancy (income approach)",":",""
"2008","European Union (15 countries)","Current prices, million euro","Final consumption expenditure and gross capital formation","11,917,879.8",""
"2008","European Union (15 countries)","Current prices, million euro","Final consumption expenditure, gross capital formation and exports of goods and services","16,470,146.4",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","Gross domestic product at market prices","9,501,079.3",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","Value added, gross","8,551,860.9",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","Final consumption expenditure","7,156,800.2",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","Final consumption expenditure of general government","1,902,600.8",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","Individual consumption expenditure of general government","1,177,232.9",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","Collective consumption expenditure of general government","725,367.9",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","Household and NPISH final consumption expenditure","5,254,199.4",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","Final consumption expenditure of households","5,134,528.1",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","Final consumption expenditure of NPISH","119,671.4",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","Actual individual consumption","6,431,432.3",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","Gross capital formation","2,230,626.5",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","Gross fixed capital formation","2,177,667.1",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","Changes in inventories and acquisitions less disposals of valuables","52,959.4",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","Changes in inventories",":",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","Acquisitions less disposals of valuables",":",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","Exports of goods and services","3,759,091.6",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","Exports of goods","2,879,007.0",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","Exports of services","880,084.6",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","Imports of goods and services","3,645,439.1",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","Imports of goods","2,813,105.3",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","Imports of services","832,333.8",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","External balance of goods and services","113,652.5",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","External balance - Goods","65,901.7",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","External balance - Services","47,750.8",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","Compensation of employees","4,459,897.7",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","Wages and salaries","3,461,166.4",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","Employers' social contributions","998,731.3",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","Operating surplus and mixed income, gross","4,005,534.2",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","Taxes on production and imports less subsidies","1,035,647.4",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","Taxes on production and imports",":",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","Subsidies",":",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","Taxes less subsidies on products","949,218.3",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","Taxes on products",":",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","Subsidies on products",":",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","Statistical discrepancy (production approach)",":",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","Statistical discrepancy (expenditure approach)",":",""
